"Kod";"Nazwa";"ścieżki rowerowe na 10 tys. ludności;2011;[km]";"ścieżki rowerowe na 10 tys. ludności;2012;[km]";"ścieżki rowerowe na 10 tys. ludności;2013;[km]";"ścieżki rowerowe na 10 tys. ludności;2014;[km]";"ścieżki rowerowe na 10 tys. ludności;2015;[km]";"ścieżki rowerowe na 10 tys. ludności;2016;[km]";"ścieżki rowerowe na 10 tys. ludności;2017;[km]";"ścieżki rowerowe na 10 tys. ludności;2018;[km]";
0000000;"POLSKA";1,50;1,81;2,01;2,43;2,81;2,93;3,16;3,62;
0200000;"DOLNOŚLĄSKIE";1,75;2,02;2,09;2,68;2,77;2,39;2,59;3,08;
0201000;"Powiat bolesławiecki";0,91;1,31;1,55;2,68;3,20;4,10;4,57;4,66;
0201011;"Bolesławiec (1)";2,04;2,96;3,54;3,55;4,57;7,28;7,29;7,40;
0201022;"Bolesławiec (2)";0,00;0,00;0,00;7,24;7,23;5,49;5,42;5,33;
0201062;"Warta Bolesławiecka (2)";0,00;0,00;0,00;0,00;0,82;0,81;5,65;6,25;
0202000;"Powiat dzierżoniowski";7,64;8,77;3,33;19,13;19,29;4,73;5,02;5,18;
0202011;"Bielawa (1)";3,23;6,35;7,38;12,62;12,76;6,13;6,16;6,19;
0202021;"Dzierżoniów (1)";3,13;3,63;2,56;6,32;6,45;5,24;5,88;6,33;
0202031;"Pieszyce (1)";61,62;61,69;3,12;51,32;51,10;;;;
0202033;"Pieszyce (3)";;;;;;4,88;4,92;4,95;
0202041;"Piława Górna (1)";0,00;0,00;0,00;3,28;3,32;1,22;1,23;1,24;
0202052;"Dzierżoniów (2)";0,00;0,00;0,00;67,92;68,54;0,00;0,54;0,55;
0202062;"Łagiewniki (2)";0,00;0,00;0,00;4,78;4,77;6,00;6,03;6,04;
0202073;"Niemcza (3)";0,00;0,00;0,00;34,69;35,09;4,10;4,15;4,18;
0203000;"Powiat głogowski";1,24;1,28;1,40;1,52;1,72;1,92;2,05;2,40;
0203011;"Głogów (1)";1,62;1,68;1,68;1,84;2,11;2,50;2,67;3,12;
