"Kod";"Nazwa";"ogółem;2013;[-]";"ogółem;2014;[-]";"ogółem;2015;[-]";"ogółem;2016;[-]";"ogółem;2017;[-]";"ogółem;2018;[-]";
0000000;"POLSKA";-0,5;0,0;-0,7;-0,1;0,0;-0,7;
0200000;"DOLNOŚLĄSKIE";-1,6;-0,9;-1,8;-1,1;-1,3;-1,8;
0201000;"Powiat bolesławiecki";-0,6;0,2;-0,8;-0,4;-0,4;-1,3;
0202000;"Powiat dzierżoniowski";-4,4;-3,1;-4,4;-3,8;-4,6;-4,9;
0203000;"Powiat głogowski";0,9;1,9;1,1;0,5;0,2;-1,2;
0204000;"Powiat górowski";-0,7;1,4;-2,3;-1,8;-1,5;-2,4;
0205000;"Powiat jaworski";-2,8;-1,7;-3,5;-2,4;-2,6;-3,4;
0206000;"Powiat jeleniogórski";-4,4;-3,1;-3,5;-5,2;-4,8;-6,8;
0207000;"Powiat kamiennogórski";-5,0;-4,2;-4,4;-2,7;-3,3;-5,1;
0208000;"Powiat kłodzki";-4,4;-3,5;-5,3;-5,3;-4,7;-5,6;
0209000;"Powiat legnicki";-2,5;-0,9;-0,9;-1,2;-0,9;-2,2;
0210000;"Powiat lubański";-3,7;-2,8;-2,8;-2,5;-3,8;-4,6;
0211000;"Powiat lubiński";0,3;1,4;0,0;0,5;-0,2;-0,1;
0212000;"Powiat lwówecki";-3,7;-2,9;-2,8;-2,7;-3,5;-3,8;
0213000;"Powiat milicki";0,9;1,4;-0,4;-0,8;1,3;0,1;
0214000;"Powiat oleśnicki";0,3;1,7;0,9;1,2;0,7;0,6;
0215000;"Powiat oławski";1,0;0,5;1,2;2,0;1,0;0,3;
0216000;"Powiat polkowicki";2,2;1,6;0,2;1,0;1,1;0,3;
0217000;"Powiat strzeliński";-2,3;-1,4;-2,1;-1,2;-1,0;-2,6;
0218000;"Powiat średzki";0,1;1,1;-1,8;0,4;0,1;-0,5;
0219000;"Powiat świdnicki";-1,8;-2,2;-2,7;-2,1;-1,7;-3,4;
0220000;"Powiat trzebnicki";0,2;0,3;0,3;1,4;0,3;-0,3;
0221000;"Powiat wałbrzyski";-5,0;-4,4;-5,7;-5,5;-5,6;-5,7;
0222000;"Powiat wołowski";-0,8;-0,8;-3,5;0,0;-0,3;-1,2;
0223000;"Powiat wrocławski";3,4;4,3;3,7;4,7;5,6;5,6;
0224000;"Powiat ząbkowicki";-4,0;-3,3;-5,1;-5,6;-5,1;-5,7;
0225000;"Powiat zgorzelecki";-2,5;-3,2;-3,8;-3,3;-4,2;-5,2;
0226000;"Powiat złotoryjski";-2,3;-0,9;-3,0;-1,5;-1,1;-2,4;
0261000;"Powiat m.Jelenia Góra";-4,5;-4,1;-4,2;-5,2;-5,0;-6,1;
0262000;"Powiat m.Legnica";-2,3;-2,3;-1,6;-1,0;-1,4;-2,2;
0264000;"Powiat m.Wrocław";-0,7;0,1;-0,7;1,0;0,4;0,8;
0265000;"Powiat m.Wałbrzych od 2013";-6,1;-5,6;-6,7;-6,4;-6,3;-6,8;
0400000;"KUJAWSKO-POMORSKIE";-0,3;0,0;-0,6;-0,3;-0,2;-1,3;
0401000;"Powiat aleksandrowski";-1,5;-3,0;-2,4;-3,0;-1,3;-4,7;
0402000;"Powiat brodnicki";2,1;2,4;1,2;1,9;2,5;1,2;
0403000;"Powiat bydgoski";1,6;2,3;1,8;2,5;1,8;1,2;
0404000;"Powiat chełmiński";0,1;1,1;-0,9;0,2;0,6;0,2;
0405000;"Powiat golubsko-dobrzyński";1,0;1,5;-0,2;0,0;1,7;-0,9;
0406000;"Powiat grudziądzki";1,5;2,8;0,8;0,7;1,7;0,9;
0407000;"Powiat inowrocławski";-1,3;-1,4;-1,8;-2,1;-1,4;-3,3;
0408000;"Powiat lipnowski";0,0;0,7;-0,1;-0,1;-0,3;-2,0;
0409000;"Powiat mogileński";-1,4;-0,4;0,1;-0,3;0,5;-0,4;
0410000;"Powiat nakielski";2,4;1,7;1,0;1,3;0,9;0,0;
0411000;"Powiat radziejowski";-0,8;-1,4;-2,3;-1,8;-2,9;-3,1;
0412000;"Powiat rypiński";0,1;0,3;-2,4;-1,3;0,0;-1,8;
0413000;"Powiat sępoleński";1,5;0,9;-0,5;-0,3;1,9;-1,1;
0414000;"Powiat świecki";1,2;1,5;0,5;-0,1;-0,1;0,3;
0415000;"Powiat toruński";2,7;2,8;2,6;2,5;2,1;1,2;
0416000;"Powiat tucholski";1,3;2,2;1,4;1,8;1,7;1,5;
0417000;"Powiat wąbrzeski";-0,8;0,2;1,5;0,4;-0,5;-0,3;
0418000;"Powiat włocławski";-2,2;-1,4;-2,3;-1,8;-2,2;-2,2;
0419000;"Powiat żniński";0,3;0,6;0,1;-0,2;1,0;-1,2;
0461000;"Powiat m.Bydgoszcz";-1,7;-1,2;-1,7;-1,3;-1,3;-2,5;
0462000;"Powiat m.Grudziądz";-2,3;-1,1;-2,2;-2,2;-1,8;-4,3;
0463000;"Powiat m.Toruń";-0,3;0,0;0,2;0,9;0,7;0,0;
0464000;"Powiat m.Włocławek";-2,8;-3,5;-4,4;-2,6;-3,3;-4,1;
0600000;"LUBELSKIE";-1,4;-1,1;-1,4;-1,2;-1,2;-1,7;
0601000;"Powiat bialski";-2,0;-1,6;-1,6;-1,1;-1,4;-1,9;
0602000;"Powiat biłgorajski";-1,4;-1,0;-0,9;-1,1;-1,1;-2,1;
0603000;"Powiat chełmski";-2,6;-2,2;-3,9;-3,3;-3,5;-3,0;
0604000;"Powiat hrubieszowski";-4,4;-3,2;-3,5;-4,7;-5,3;-5,0;
0605000;"Powiat janowski";-2,9;-2,8;-3,6;-2,2;-2,2;-2,6;
0606000;"Powiat krasnostawski";-5,4;-6,4;-5,9;-5,2;-5,1;-5,3;
0607000;"Powiat kraśnicki";-2,0;-2,8;-3,6;-2,6;-2,8;-2,9;
0608000;"Powiat lubartowski";-2,1;-2,2;-1,9;-1,5;-2,3;-1,7;
0609000;"Powiat lubelski";-0,4;-0,2;-0,1;0,1;1,0;0,4;
0610000;"Powiat łęczyński";2,8;2,8;2,9;3,3;2,8;2,1;
0611000;"Powiat łukowski";1,0;1,5;1,6;1,2;2,4;1,2;
0612000;"Powiat opolski";-3,5;-2,4;-4,8;-2,5;-2,3;-3,7;
0613000;"Powiat parczewski";-2,7;-2,0;-2,1;-2,2;-2,7;-3,1;
0614000;"Powiat puławski";-2,9;-1,3;-3,1;-3,1;-2,2;-2,6;
0615000;"Powiat radzyński";-1,7;-0,5;-1,6;-0,6;-1,4;-2,2;
0616000;"Powiat rycki";-1,3;-0,2;-1,5;-0,7;-0,7;-2,5;
0617000;"Powiat świdnicki";-0,1;-1,3;-1,0;-1,4;-0,1;-2,1;
0618000;"Powiat tomaszowski";-2,3;-2,1;-3,7;-2,9;-4,0;-3,7;
0619000;"Powiat włodawski";-2,9;-1,0;-2,6;-2,5;-1,5;-2,9;
0620000;"Powiat zamojski";-3,9;-3,6;-3,7;-3,8;-3,5;-4,0;
0661000;"Powiat m.Biała Podlaska";1,2;2,2;2,4;2,5;3,6;1,5;
0662000;"Powiat m.Chełm";-1,6;-1,2;-1,5;-2,2;-1,9;-3,0;
0663000;"Powiat m.Lublin";0,1;0,4;0,6;0,4;0,1;0,2;
0664000;"Powiat m.Zamość";0,3;0,6;0,5;0,6;-0,4;-1,3;
0800000;"LUBUSKIE";-0,3;0,2;-0,7;-0,2;0,0;-1,5;
0801000;"Powiat gorzowski";1,8;1,2;0,1;0,5;0,8;-1,6;
0802000;"Powiat krośnieński";-1,4;-0,7;-1,1;-0,9;-0,7;-1,0;
0803000;"Powiat międzyrzecki";-0,4;0,5;-0,7;0,3;0,9;-0,6;
0804000;"Powiat nowosolski";-1,1;-0,3;-1,1;-1,3;-0,7;-1,7;
0805000;"Powiat słubicki";-0,6;0,7;-0,2;-0,7;0,3;-1,4;
0806000;"Powiat strzelecko-drezdenecki";0,0;-0,1;0,0;-1,1;-1,3;-2,0;
0807000;"Powiat sulęciński";1,0;-0,2;-2,0;-1,2;-0,5;-2,3;
