"Kod";"Nazwa";"zgony z powodu nowotworów ogółem na 100 tys. ludności;2003;[-]";"zgony z powodu nowotworów ogółem na 100 tys. ludności;2004;[-]";"zgony z powodu nowotworów ogółem na 100 tys. ludności;2005;[-]";"zgony z powodu nowotworów ogółem na 100 tys. ludności;2006;[-]";"zgony z powodu nowotworów ogółem na 100 tys. ludności;2007;[-]";"zgony z powodu nowotworów ogółem na 100 tys. ludności;2008;[-]";"zgony z powodu nowotworów ogółem na 100 tys. ludności;2009;[-]";"zgony z powodu nowotworów ogółem na 100 tys. ludności;2010;[-]";"zgony z powodu nowotworów ogółem na 100 tys. ludności;2011;[-]";"zgony z powodu nowotworów ogółem na 100 tys. ludności;2012;[-]";"zgony z powodu nowotworów ogółem na 100 tys. ludności;2013;[-]";"zgony z powodu nowotworów ogółem na 100 tys. ludności;2014;[-]";"zgony z powodu nowotworów ogółem na 100 tys. ludności;2015;[-]";"zgony z powodu nowotworów ogółem na 100 tys. ludności;2016;[-]";"zgony z powodu nowotworów ogółem na 100 tys. ludności;2017;[-]";"zgony z powodu nowotworów ogółem na 100 tys. ludności;2018;[-]";
0000000;"POLSKA";237,3;240,5;242,0;246,3;251,4;250,6;252,0;249,4;249,2;256,3;256,9;260,7;274,3;275,7;278,3;284,5;
0200000;"DOLNOŚLĄSKIE";249,1;251,8;257,1;262,2;270,3;268,9;268,4;256,4;264,0;276,7;268,2;282,5;297,3;300,9;309,3;311,8;
0201000;"Powiat bolesławiecki";224,8;251,6;245,0;232,8;262,9;269,6;245,6;254,2;215,5;248,7;238,0;243,6;276,8;296,0;262,6;280,6;
0202000;"Powiat dzierżoniowski";290,9;267,4;298,1;264,8;272,4;296,3;290,0;300,0;256,7;301,4;299,4;313,6;329,8;326,3;334,1;340,9;
0203000;"Powiat głogowski";189,9;222,7;204,9;218,6;234,7;195,2;217,9;200,5;230,3;242,6;237,0;243,9;242,8;256,5;254,9;270,7;
0204000;"Powiat górowski";260,9;199,3;188,9;222,0;268,7;241,6;266,7;225,2;217,3;264,5;224,8;258,8;310,3;320,8;309,3;274,5;
0205000;"Powiat jaworski";255,2;217,8;216,7;261,5;286,1;225,4;291,6;261,2;275,3;263,1;279,6;277,2;342,8;284,5;331,1;305,3;
0206000;"Powiat jeleniogórski";232,5;273,9;271,1;290,1;234,0;309,2;285,5;282,2;295,0;288,8;299,3;290,5;300,9;305,8;320,5;411,1;
0207000;"Powiat kamiennogórski";211,8;238,1;266,7;217,3;297,6;236,9;251,1;249,4;289,8;321,7;313,8;332,4;321,5;307,1;314,9;310,5;
0208000;"Powiat kłodzki";280,5;270,5;251,1;289,2;303,4;282,3;298,1;303,4;296,6;279,4;279,0;297,9;308,1;316,3;336,4;327,2;
0209000;"Powiat legnicki";240,7;227,2;283,9;255,7;234,8;255,9;238,6;286,3;245,4;262,9;266,2;274,9;245,4;301,2;291,7;315,1;
0210000;"Powiat lubański";245,7;220,7;275,4;260,9;249,9;238,5;274,3;218,8;255,1;220,8;261,3;286,1;297,8;289,0;352,1;332,2;
0211000;"Powiat lubiński";205,9;199,0;214,3;231,1;236,2;241,1;230,3;227,9;225,5;271,2;280,5;260,2;293,2;285,1;278,7;325,6;
0212000;"Powiat lwówecki";251,8;273,4;274,1;255,1;239,8;274,7;214,6;230,8;270,8;282,5;250,7;222,8;271,0;326,6;291,3;311,5;
0213000;"Powiat milicki";249,1;224,5;227,4;189,9;230,9;244,2;227,4;245,3;261,1;221,1;194,9;233,3;287,5;255,6;304,5;323,6;
0214000;"Powiat oleśnicki";212,5;219,2;220,2;235,5;220,9;237,8;233,1;225,4;226,7;231,6;267,9;239,2;258,6;284,2;278,0;286,8;
