"Kod";"Nazwa";"ogółem;2002;[-]";"ogółem;2003;[-]";"ogółem;2004;[-]";"ogółem;2005;[-]";"ogółem;2006;[-]";"ogółem;2007;[-]";"ogółem;2008;[-]";"ogółem;2009;[-]";"ogółem;2010;[-]";"ogółem;2011;[-]";"ogółem;2012;[-]";"ogółem;2013;[-]";"ogółem;2014;[-]";"ogółem;2015;[-]";"ogółem;2016;[-]";"ogółem;2017;[-]";"ogółem;2018;[-]";
0000000;"POLSKA";1,2;1,3;1,5;1,8;1,9;1,7;1,7;1,7;1,6;1,7;1,7;1,7;1,7;1,8;1,7;1,7;1,6;
0200000;"DOLNOŚLĄSKIE";1,7;1,9;2,2;2,6;2,6;2,3;2,2;2,3;2,0;2,0;2,0;2,0;2,0;1,9;1,7;2,0;1,9;
0201000;"Powiat bolesławiecki";1,3;1,4;1,8;2,1;2,0;2,5;1,9;2,0;1,8;2,3;1,9;2,0;1,8;1,7;1,7;2,0;1,9;
0202000;"Powiat dzierżoniowski";1,9;1,9;1,8;3,0;1,9;2,1;1,9;1,9;2,2;2,1;2,2;1,9;2,0;1,9;1,9;1,8;1,8;
0203000;"Powiat głogowski";1,7;1,9;2,2;2,8;2,8;2,4;2,2;2,0;2,4;2,2;2,0;2,2;2,2;1,7;2,1;2,1;1,8;
0204000;"Powiat górowski";1,2;1,0;1,5;1,6;1,9;1,5;2,0;1,3;1,8;1,4;1,5;1,8;2,1;1,6;1,5;1,8;1,8;
0205000;"Powiat jaworski";1,0;1,3;1,8;1,9;2,0;2,1;1,9;1,9;2,3;2,1;1,9;1,6;1,7;1,5;1,6;1,7;1,5;
0206000;"Powiat jeleniogórski";1,4;1,9;2,5;2,4;2,3;2,0;2,2;1,9;1,7;2,0;2,0;2,0;2,1;1,8;1,8;1,8;1,8;
0207000;"Powiat kamiennogórski";1,7;1,8;1,6;1,7;2,0;2,1;1,8;1,9;2,1;2,3;2,3;1,9;1,9;1,8;1,6;1,7;1,7;
0208000;"Powiat kłodzki";1,6;1,6;2,1;2,8;2,3;2,1;2,1;2,0;1,6;2,1;1,8;1,9;1,8;2,0;1,9;1,8;1,9;
0209000;"Powiat legnicki";1,0;1,4;1,7;1,8;2,2;1,7;2,0;2,3;1,8;1,9;1,6;1,3;2,2;1,4;1,5;2,1;1,8;
0210000;"Powiat lubański";1,4;1,5;2,2;2,2;2,3;2,2;2,1;1,8;2,2;2,1;2,2;2,0;2,0;1,7;1,8;1,7;1,6;
0211000;"Powiat lubiński";1,9;1,9;2,1;2,3;2,8;2,4;2,7;2,2;2,0;2,1;2,2;1,9;2,1;1,9;1,9;2,4;1,9;
0212000;"Powiat lwówecki";1,2;1,5;2,0;2,0;2,2;2,4;2,0;1,5;1,5;2,2;1,7;1,9;1,8;2,0;1,6;1,9;1,4;
0213000;"Powiat milicki";0,7;0,7;1,1;1,8;2,1;1,8;1,5;1,7;1,1;1,2;1,6;1,8;1,6;1,6;1,2;2,2;1,8;
0214000;"Powiat oleśnicki";1,1;1,5;1,6;2,3;2,0;2,1;1,9;2,1;1,7;1,7;1,6;2,1;1,9;1,6;1,4;1,9;2,0;
0215000;"Powiat oławski";1,4;1,8;2,0;2,5;2,6;2,5;1,9;2,7;1,9;1,7;1,8;2,0;1,7;1,9;1,7;2,2;2,4;
0216000;"Powiat polkowicki";1,5;1,6;2,0;2,7;2,2;1,9;2,3;2,1;1,6;1,8;1,3;1,8;1,9;1,6;1,7;1,8;1,7;
0217000;"Powiat strzeliński";0,8;1,0;1,1;1,9;2,1;1,5;1,4;2,0;1,5;1,5;1,4;1,8;1,5;1,5;1,7;1,6;1,6;
0218000;"Powiat średzki";1,0;0,7;2,1;2,2;2,1;1,4;1,4;1,7;1,7;1,4;1,7;1,8;1,8;1,4;1,7;1,8;1,9;
0219000;"Powiat świdnicki";2,1;2,3;1,9;2,7;2,7;2,3;2,2;2,3;1,8;2,3;2,3;2,4;2,1;1,9;2,0;1,8;1,9;
0220000;"Powiat trzebnicki";1,2;1,4;2,1;2,4;2,2;1,8;1,6;2,2;1,6;1,6;1,8;2,0;1,5;1,8;1,4;2,0;2,0;
0221000;"Powiat wałbrzyski";1,5;2,3;2,4;3,1;3,0;2,5;2,4;2,2;2,3;2,4;2,4;1,6;1,8;2,2;1,7;1,5;1,8;
0222000;"Powiat wołowski";1,4;1,4;2,0;2,0;2,3;2,1;1,9;2,3;1,9;2,3;1,8;1,8;1,9;2,0;1,3;2,0;2,0;
0223000;"Powiat wrocławski";1,0;0,9;1,5;1,9;1,9;1,7;1,3;1,9;1,3;1,3;1,6;1,8;1,5;1,8;1,6;2,1;1,7;
0224000;"Powiat ząbkowicki";1,3;1,2;1,3;1,9;1,9;1,7;1,9;1,6;1,7;1,6;1,5;1,2;1,6;1,8;1,6;1,4;1,6;
0225000;"Powiat zgorzelecki";1,6;1,9;2,2;2,7;2,6;2,7;2,4;2,5;2,2;2,2;2,0;2,1;2,4;2,0;1,7;2,0;2,0;
0226000;"Powiat złotoryjski";1,4;1,3;1,7;2,2;2,2;2,0;2,5;1,9;1,9;1,7;1,7;1,5;1,8;1,6;1,7;1,7;1,4;
0261000;"Powiat m.Jelenia Góra";2,2;2,6;2,8;3,3;3,0;3,1;2,8;2,6;2,8;2,7;2,5;2,3;2,4;2,3;2,3;2,1;2,0;
0262000;"Powiat m.Legnica";2,2;2,9;3,0;2,6;3,4;2,8;2,9;2,6;2,4;2,5;2,4;2,1;2,1;1,9;2,1;2,5;1,7;
0263000;"Powiat m.Wałbrzych do 2002";2,4;;;;;;;;;;;;;;;;;
0264000;"Powiat m.Wrocław";2,3;2,3;2,7;2,9;3,0;2,8;2,4;2,9;2,3;2,1;2,1;2,4;2,1;2,1;1,7;2,4;2,2;
0265000;"Powiat m.Wałbrzych od 2013";;;;;;;;;;;;2,2;2,5;2,4;2,2;2,1;2,1;
0400000;"KUJAWSKO-POMORSKIE";1,3;1,3;1,7;2,1;2,1;1,9;1,7;1,9;1,9;1,9;1,9;2,0;2,1;2,0;1,8;1,9;1,6;
0401000;"Powiat aleksandrowski";1,2;1,0;1,3;1,7;1,6;1,6;1,3;1,7;1,8;0,9;1,8;2,1;2,4;1,5;1,8;1,5;0,9;
