"Kod";"Nazwa";"ogółem;2002;[%]";"ogółem;2003;[%]";"ogółem;2004;[%]";"ogółem;2005;[%]";"ogółem;2006;[%]";"ogółem;2007;[%]";"ogółem;2008;[%]";"ogółem;2009;[%]";"ogółem;2010;[%]";"ogółem;2011;[%]";"ogółem;2012;[%]";"ogółem;2013;[%]";"ogółem;2014;[%]";"ogółem;2015;[%]";"ogółem;2016;[%]";"ogółem;2017;[%]";"ogółem;2018;[%]";
0000000;"POLSKA";33,01;32,54;32,52;32,54;32,12;32,31;32,31;32,31;32,43;32,45;32,45;32,5;32,5;32,5;32,5;32,5;32,6;
0200000;"DOLNOŚLĄSKIE";20,17;20,22;18,09;18,13;18,14;18,09;18,03;18,17;18,54;18,60;18,60;18,6;18,6;18,6;18,6;18,6;18,6;
0201000;"Powiat bolesławiecki";9,08;9,20;9,20;9,20;9,20;9,20;9,20;9,20;9,20;9,20;9,20;9,2;9,2;9,2;9,2;9,2;9,2;
0202000;"Powiat dzierżoniowski";18,92;18,92;18,92;18,92;18,93;18,92;18,92;18,92;17,88;17,88;17,88;17,9;17,9;17,9;17,9;17,9;17,9;
0203000;"Powiat głogowski";1,42;1,42;1,44;2,80;2,80;2,80;2,80;2,80;2,80;2,80;2,80;2,8;2,8;2,8;2,8;2,8;2,8;
0204000;"Powiat górowski";70,65;70,65;70,65;70,70;70,69;70,69;70,69;70,69;70,69;70,69;70,69;70,7;70,5;70,5;70,5;70,5;70,5;
0205000;"Powiat jaworski";26,23;26,23;26,23;26,23;26,22;26,22;26,22;26,22;26,22;26,22;26,22;26,2;26,3;26,3;26,3;26,3;26,3;
0206000;"Powiat jeleniogórski";60,92;59,91;25,02;25,02;25,06;25,06;25,06;25,06;25,06;25,06;25,06;25,1;25,1;25,1;25,1;25,1;25,1;
0207000;"Powiat kamiennogórski";25,13;25,13;16,02;16,02;16,03;16,03;16,03;16,03;16,03;16,03;16,03;16,0;16,0;16,0;16,0;16,0;16,0;
0208000;"Powiat kłodzki";37,67;37,72;37,72;37,72;37,72;37,72;37,72;37,71;37,48;37,48;37,49;37,5;37,5;37,5;37,5;37,5;37,5;
0209000;"Powiat legnicki";11,51;11,51;12,08;12,08;12,09;12,09;12,09;12,02;12,02;12,02;12,02;12,0;12,0;12,0;12,0;12,0;12,0;
0210000;"Powiat lubański";10,67;10,67;1,64;1,67;1,67;1,67;1,67;2,27;2,27;2,27;2,27;2,3;2,3;2,3;2,3;2,3;2,3;
0211000;"Powiat lubiński";2,12;2,12;2,12;2,12;2,12;2,12;2,12;2,12;2,12;2,12;2,12;2,1;2,1;2,1;2,1;2,1;2,1;
0212000;"Powiat lwówecki";27,02;26,49;14,29;14,29;14,39;14,39;12,49;13,10;13,20;13,20;13,20;13,2;13,2;13,2;13,2;13,2;13,2;
0213000;"Powiat milicki";67,58;67,58;67,58;67,58;67,58;67,58;67,75;67,75;67,75;67,75;67,75;67,8;67,8;67,8;67,8;67,8;67,8;
0214000;"Powiat oleśnicki";10,26;10,28;10,31;10,39;10,39;10,46;10,46;10,46;10,46;10,46;10,46;10,5;10,5;10,5;10,5;10,5;10,5;
0215000;"Powiat oławski";0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,0;0,1;0,1;0,1;0,1;0,1;
0216000;"Powiat polkowicki";25,93;28,10;28,10;28,10;28,28;28,28;28,28;26,60;26,66;26,66;26,66;26,7;26,7;26,7;26,7;26,7;26,7;
0217000;"Powiat strzeliński";2,41;2,41;2,41;2,41;2,41;2,41;2,41;2,41;14,64;14,64;14,64;14,6;14,6;14,6;14,6;14,6;14,6;
