"Kod";"Nazwa";"odsetek zgonów wśród osób poniżej 60 roku życia;2002;[-]";"odsetek zgonów wśród osób poniżej 60 roku życia;2003;[-]";"odsetek zgonów wśród osób poniżej 60 roku życia;2004;[-]";"odsetek zgonów wśród osób poniżej 60 roku życia;2005;[-]";"odsetek zgonów wśród osób poniżej 60 roku życia;2006;[-]";"odsetek zgonów wśród osób poniżej 60 roku życia;2007;[-]";"odsetek zgonów wśród osób poniżej 60 roku życia;2008;[-]";"odsetek zgonów wśród osób poniżej 60 roku życia;2009;[-]";"odsetek zgonów wśród osób poniżej 60 roku życia;2010;[-]";"odsetek zgonów wśród osób poniżej 60 roku życia;2011;[-]";"odsetek zgonów wśród osób poniżej 60 roku życia;2012;[-]";"odsetek zgonów wśród osób poniżej 60 roku życia;2013;[-]";"odsetek zgonów wśród osób poniżej 60 roku życia;2014;[-]";"odsetek zgonów wśród osób poniżej 60 roku życia;2015;[-]";"odsetek zgonów wśród osób poniżej 60 roku życia;2016;[-]";"odsetek zgonów wśród osób poniżej 60 roku życia;2017;[-]";"odsetek zgonów wśród osób poniżej 60 roku życia;2018;[-]";
0000000;"POLSKA";;;;;;;;;21,5;21,0;19,9;18,8;18,1;17,1;16,8;15,8;15,2;
0200000;"DOLNOŚLĄSKIE";;;;;;;;;22,6;22,0;20,8;19,4;18,8;17,3;17,2;16,2;15,4;
0201000;"Powiat bolesławiecki";;;;;;;;;22,2;24,7;23,9;21,9;22,8;16,8;18,0;17,3;15,3;
0202000;"Powiat dzierżoniowski";;;;;;;;;20,0;19,5;19,7;16,1;18,3;16,8;15,8;16,0;13,8;
0203000;"Powiat głogowski";;;;;;;;;27,6;26,4;25,8;22,4;20,6;21,4;18,9;18,1;17,0;
0204000;"Powiat górowski";;;;;;;;;21,8;27,4;20,7;18,5;19,4;18,5;17,4;18,2;15,4;
0205000;"Powiat jaworski";;;;;;;;;24,5;21,9;24,2;18,3;17,7;17,5;17,0;15,6;16,1;
0206000;"Powiat jeleniogórski";;;;;;;;;26,7;23,0;20,7;18,2;18,5;17,5;17,3;19,1;15,3;
0207000;"Powiat kamiennogórski";;;;;;;;;20,9;23,0;22,6;21,2;20,1;19,5;19,1;18,3;14,6;
0208000;"Powiat kłodzki";;;;;;;;;22,9;21,9;21,9;20,4;19,2;17,9;19,3;15,9;16,8;
0209000;"Powiat legnicki";;;;;;;;;20,6;23,1;21,4;21,9;19,0;16,9;20,4;20,1;17,0;
0210000;"Powiat lubański";;;;;;;;;23,1;20,8;21,3;16,5;18,2;18,5;20,2;15,7;14,2;
0211000;"Powiat lubiński";;;;;;;;;26,0;24,5;23,6;21,9;23,2;19,1;19,9;17,3;18,1;
